customer_id,month,active_days,total_sessions
12,2025-02-01,10,26
12,2025-03-01,10,20
12,2025-04-01,8,17
12,2025-05-01,6,20
12,2025-06-01,2,19
12,2025-07-01,3,13
13,2025-01-01,14,25
14,2024-04-01,5,20
15,2024-05-01,4,29
15,2024-06-01,8,31
16,2024-11-01,8,19
16,2024-12-01,9,22
16,2025-01-01,10,21
16,2025-02-01,8,20
16,2025-03-01,7,21
16,2025-04-01,5,16
16,2025-05-01,9,26
16,2025-06-01,3,14
16,2025-07-01,2,16
17,2024-12-01,4,10
17,2025-01-01,4,17
17,2025-02-01,10,20
17,2025-03-01,6,13
17,2025-04-01,10,22
17,2025-05-01,3,7
17,2025-06-01,10,17
17,2025-07-01,5,14
18,2025-05-01,9,19
18,2025-06-01,9,19
18,2025-07-01,4,15
19,2025-02-01,9,23
19,2025-03-01,2,16
19,2025-04-01,5,18
19,2025-05-01,5,19
19,2025-06-01,5,20
19,2025-07-01,2,7
20,2025-01-01,6,17
20,2025-02-01,10,25
20,2025-03-01,7,24
20,2025-04-01,6,20
20,2025-05-01,13,27
20,2025-06-01,14,33
20,2025-07-01,7,24
21,2024-07-01,8,46
21,2024-08-01,6,25
21,2024-09-01,10,36
21,2024-10-01,9,35
21,2024-11-01,11,38
21,2024-12-01,18,47
21,2025-01-01,11,41
21,2025-02-01,15,37
21,2025-03-01,14,35
21,2025-04-01,10,28
22,2024-10-01,14,28
22,2024-11-01,9,28
22,2024-12-01,5,18
22,2025-01-01,11,29
22,2025-02-01,12,29
22,2025-03-01,14,28
22,2025-04-01,11,27
22,2025-05-01,7,27
22,2025-06-01,11,26
22,2025-07-01,9,25
23,2024-06-01,3,21
23,2024-07-01,10,18
24,2025-04-01,11,42
24,2025-05-01,16,37
24,2025-06-01,10,38
24,2025-07-01,14,39
25,2024-11-01,13,25
25,2024-12-01,11,27
25,2025-01-01,11,29
25,2025-02-01,6,25
25,2025-03-01,7,30
26,2024-01-01,8,32
26,2024-02-01,8,25
26,2024-03-01,10,36
27,2024-09-01,4,16
27,2024-10-01,5,25
27,2024-11-01,9,25
27,2024-12-01,9,27
27,2025-01-01,4,16
27,2025-02-01,4,23
27,2025-03-01,9,27
27,2025-04-01,14,37
27,2025-05-01,7,17
28,2025-04-01,10,29
29,2024-02-01,9,18
29,2024-03-01,9,21
29,2024-04-01,7,18
29,2024-05-01,5,18
29,2024-06-01,3,18
29,2024-07-01,8,20
29,2024-08-01,3,17
29,2024-09-01,4,20
29,2024-10-01,10,18
29,2024-11-01,9,23
29,2024-12-01,2,10
29,2025-01-01,8,19
29,2025-02-01,8,20
29,2025-03-01,10,21
29,2025-04-01,6,22
29,2025-05-01,3,20
29,2025-06-01,10,20
29,2025-07-01,6,15
30,2025-05-01,8,25
30,2025-06-01,12,36
30,2025-07-01,5,22
31,2025-04-01,6,16
31,2025-05-01,10,24
31,2025-06-01,8,21
31,2025-07-01,4,13
32,2024-07-01,5,18
32,2024-08-01,9,26
32,2024-09-01,2,14
32,2024-10-01,3,16
32,2024-11-01,4,14
32,2024-12-01,6,12
33,2024-08-01,12,31
33,2024-09-01,12,30
33,2024-10-01,11,32
33,2024-11-01,8,26
33,2024-12-01,6,29
33,2025-01-01,9,31
33,2025-02-01,11,37
33,2025-03-01,9,29
33,2025-04-01,8,22
34,2025-05-01,6,21
34,2025-06-01,14,30
34,2025-07-01,14,29
35,2024-05-01,10,31
35,2024-06-01,5,22
35,2024-07-01,9,30
35,2024-08-01,10,21
35,2024-09-01,4,20
35,2024-10-01,11,30
35,2024-11-01,14,40
35,2024-12-01,8,24
35,2025-01-01,7,30
35,2025-02-01,10,21
36,2025-04-01,2,11
36,2025-05-01,5,16
36,2025-06-01,10,17
36,2025-07-01,10,28
37,2024-01-01,3,18
37,2024-02-01,8,16
37,2024-03-01,6,15
37,2024-04-01,2,9
37,2024-05-01,10,21
37,2024-06-01,4,12
37,2024-07-01,9,16
37,2024-08-01,4,14
37,2024-09-01,3,20
37,2024-10-01,2,13
37,2024-11-01,3,23
37,2024-12-01,6,26
38,2024-06-01,4,16
38,2024-07-01,9,24
38,2024-08-01,4,16
38,2024-09-01,5,21
38,2024-10-01,7,23
38,2024-11-01,7,25
38,2024-12-01,10,38
38,2025-01-01,8,27
38,2025-02-01,4,21
38,2025-03-01,9,23
38,2025-04-01,9,28
38,2025-05-01,11,31
38,2025-06-01,6,21
38,2025-07-01,11,35
39,2024-09-01,17,39
39,2024-10-01,14,39
39,2024-11-01,9,39
39,2024-12-01,9,46
40,2025-01-01,11,30
40,2025-02-01,6,29
40,2025-03-01,4,28
40,2025-04-01,14,32
41,2024-11-01,7,28
41,2024-12-01,16,42
41,2025-01-01,6,34
41,2025-02-01,13,35
41,2025-03-01,8,32
41,2025-04-01,18,41
41,2025-05-01,13,35
41,2025-06-01,6,28
41,2025-07-01,12,35
42,2024-01-01,12,24
42,2024-02-01,11,26
42,2024-03-01,12,31
42,2024-04-01,9,17
42,2024-05-01,9,30
42,2024-06-01,4,27
42,2024-07-01,11,25
43,2024-08-01,8,29
43,2024-09-01,14,31
43,2024-10-01,13,27
43,2024-11-01,7,29
43,2024-12-01,6,16
43,2025-01-01,5,32
43,2025-02-01,11,31
43,2025-03-01,14,31
43,2025-04-01,9,29
43,2025-05-01,13,26
43,2025-06-01,14,29
43,2025-07-01,8,22
44,2024-12-01,9,17
45,2024-12-01,13,31
45,2025-01-01,13,40
45,2025-02-01,9,32
45,2025-03-01,9,18
46,2024-04-01,9,31
46,2024-05-01,5,17
46,2024-06-01,7,26
46,2024-07-01,6,24
47,2025-01-01,11,30
47,2025-02-01,8,27
47,2025-03-01,4,19
47,2025-04-01,6,21
47,2025-05-01,12,35
47,2025-06-01,6,26
47,2025-07-01,13,27
48,2025-03-01,12,26
48,2025-04-01,6,26
48,2025-05-01,14,35
48,2025-06-01,11,35
48,2025-07-01,4,22
49,2025-03-01,12,29
49,2025-04-01,10,31
49,2025-05-01,13,29
49,2025-06-01,6,13
49,2025-07-01,11,25
50,2025-05-01,10,22
50,2025-06-01,6,17
51,2024-02-01,5,30
51,2024-03-01,6,24
51,2024-04-01,11,26
51,2024-05-01,6,30
51,2024-06-01,14,28
51,2024-07-01,10,27
51,2024-08-01,10,25
51,2024-09-01,9,28
52,2024-07-01,9,18
52,2024-08-01,4,12
52,2024-09-01,6,16
52,2024-10-01,4,14
52,2024-11-01,5,15
52,2024-12-01,7,21
52,2025-01-01,6,15
53,2024-03-01,11,34
53,2024-04-01,9,32
53,2024-05-01,14,36
53,2024-06-01,17,44
54,2025-01-01,7,12
54,2025-02-01,10,22
54,2025-03-01,8,19
54,2025-04-01,5,14
54,2025-05-01,4,18
54,2025-06-01,6,17
54,2025-07-01,2,11
55,2024-01-01,10,17
55,2024-02-01,5,17
55,2024-03-01,8,19
55,2024-04-01,6,23
55,2024-05-01,9,19
55,2024-06-01,4,14
55,2024-07-01,7,22
55,2024-08-01,2,14
55,2024-09-01,7,19
55,2024-10-01,5,20
55,2024-11-01,6,17
55,2024-12-01,4,19
55,2025-01-01,3,13
55,2025-02-01,8,21
55,2025-03-01,9,19
56,2025-01-01,9,15
57,2024-04-01,5,28
57,2024-05-01,4,27
58,2025-04-01,7,18
58,2025-05-01,9,19
58,2025-06-01,5,24
58,2025-07-01,5,12
59,2025-02-01,6,16
59,2025-03-01,8,22
59,2025-04-01,3,19
59,2025-05-01,5,12
59,2025-06-01,8,26
59,2025-07-01,2,12
60,2024-06-01,7,22
60,2024-07-01,7,29
60,2024-08-01,8,24
60,2024-09-01,11,33
60,2024-10-01,7,32
60,2024-11-01,13,30
60,2024-12-01,7,25
60,2025-01-01,14,26
60,2025-02-01,10,27
60,2025-03-01,5,24
60,2025-04-01,11,30
60,2025-05-01,4,12
60,2025-06-01,12,23
61,2024-07-01,4,17
61,2024-08-01,5,21
61,2024-09-01,5,17
62,2024-09-01,15,44
62,2024-10-01,6,28
62,2024-11-01,9,35
62,2024-12-01,13,45
63,2024-09-01,8,36
63,2024-10-01,14,39
63,2024-11-01,15,40
63,2024-12-01,7,32
63,2025-01-01,10,32
64,2025-03-01,4,30
64,2025-04-01,7,24
64,2025-05-01,14,33
64,2025-06-01,13,28
64,2025-07-01,7,21
65,2025-04-01,6,24
66,2024-09-01,11,30
66,2024-10-01,9,21
66,2024-11-01,4,23
66,2024-12-01,13,40
66,2025-01-01,5,23
66,2025-02-01,5,25
66,2025-03-01,9,24
66,2025-04-01,12,32
66,2025-05-01,12,42
66,2025-06-01,14,37
66,2025-07-01,11,36
67,2024-10-01,6,16
67,2024-11-01,3,10
67,2024-12-01,9,22
68,2024-12-01,4,26
68,2025-01-01,11,30
68,2025-02-01,5,33
68,2025-03-01,8,30
68,2025-04-01,7,28
68,2025-05-01,7,26
68,2025-06-01,10,27
68,2025-07-01,14,26
69,2024-02-01,4,17
70,2024-08-01,14,33
70,2024-09-01,14,35
70,2024-10-01,13,33
70,2024-11-01,18,50
70,2024-12-01,12,33
70,2025-01-01,7,36
70,2025-02-01,18,43
70,2025-03-01,13,33
70,2025-04-01,15,44
70,2025-05-01,8,28
70,2025-06-01,11,43
70,2025-07-01,10,34
71,2024-07-01,2,12
71,2024-08-01,5,17
71,2024-09-01,10,19
71,2024-10-01,2,21
71,2024-11-01,6,19
71,2024-12-01,10,19
71,2025-01-01,5,11
71,2025-02-01,7,14
71,2025-03-01,7,13
71,2025-04-01,7,21
71,2025-05-01,10,19
71,2025-06-01,7,30
71,2025-07-01,7,19
72,2025-01-01,14,34
72,2025-02-01,14,37
72,2025-03-01,13,28
72,2025-04-01,8,25
72,2025-05-01,13,41
73,2025-05-01,7,23
73,2025-06-01,7,22
73,2025-07-01,7,27
74,2024-02-01,9,34
74,2024-03-01,10,34
74,2024-04-01,5,16
74,2024-05-01,10,27
75,2024-06-01,7,17
75,2024-07-01,4,15
75,2024-08-01,5,15
75,2024-09-01,6,21
75,2024-10-01,8,28
75,2024-11-01,5,24
75,2024-12-01,5,16
75,2025-01-01,8,18
75,2025-02-01,6,19
75,2025-03-01,4,14
75,2025-04-01,10,22
75,2025-05-01,4,16
75,2025-06-01,6,18
75,2025-07-01,7,17
76,2024-01-01,14,38
76,2024-02-01,9,34
76,2024-03-01,7,29
76,2024-04-01,6,33
76,2024-05-01,8,28
77,2024-03-01,7,25
77,2024-04-01,12,29
77,2024-05-01,8,28
77,2024-06-01,6,24
77,2024-07-01,10,34
77,2024-08-01,7,20
77,2024-09-01,14,35
77,2024-10-01,5,25
77,2024-11-01,10,34
77,2024-12-01,5,27
78,2024-12-01,7,27
78,2025-01-01,9,20
78,2025-02-01,7,22
78,2025-03-01,7,25
78,2025-04-01,8,28
78,2025-05-01,7,30
78,2025-06-01,13,28
79,2024-05-01,2,12
79,2024-06-01,2,13
79,2024-07-01,6,16
79,2024-08-01,3,19
79,2024-09-01,2,22
79,2024-10-01,5,23
79,2024-11-01,9,27
79,2024-12-01,3,13
79,2025-01-01,5,18
79,2025-02-01,5,17
79,2025-03-01,3,9
79,2025-04-01,3,13
79,2025-05-01,10,19
79,2025-06-01,2,19
79,2025-07-01,6,17
80,2025-04-01,7,22
81,2024-03-01,9,20
81,2024-04-01,4,17
81,2024-05-01,5,19
81,2024-06-01,5,16
81,2024-07-01,5,9
81,2024-08-01,10,23
81,2024-09-01,3,19
81,2024-10-01,4,10
81,2024-11-01,4,19
81,2024-12-01,9,22
81,2025-01-01,9,18
81,2025-02-01,2,18
81,2025-03-01,2,16
81,2025-04-01,3,13
81,2025-05-01,5,16
82,2024-05-01,8,20
82,2024-06-01,9,26
82,2024-07-01,7,18
82,2024-08-01,4,17
82,2024-09-01,6,14
82,2024-10-01,7,17
82,2024-11-01,3,12
82,2024-12-01,3,11
82,2025-01-01,6,22
82,2025-02-01,8,24
82,2025-03-01,6,14
82,2025-04-01,6,14
82,2025-05-01,6,23
82,2025-06-01,10,26
82,2025-07-01,2,14
83,2025-05-01,9,27
83,2025-06-01,7,19
83,2025-07-01,10,26
84,2025-01-01,16,35
84,2025-02-01,10,42
84,2025-03-01,8,38
84,2025-04-01,7,33
84,2025-05-01,11,37
84,2025-06-01,14,44
84,2025-07-01,12,45
85,2025-02-01,10,19
86,2024-10-01,3,20
86,2024-11-01,7,30
86,2024-12-01,9,23
86,2025-01-01,10,23
86,2025-02-01,2,12
87,2025-01-01,11,19
87,2025-02-01,7,29
88,2025-05-01,4,13
89,2024-08-01,6,25
89,2024-09-01,10,20
89,2024-10-01,9,22
89,2024-11-01,3,11
89,2024-12-01,4,17
89,2025-01-01,3,16
89,2025-02-01,9,20
89,2025-03-01,6,20
89,2025-04-01,6,24
89,2025-05-01,5,18
89,2025-06-01,5,20
89,2025-07-01,8,19
90,2024-02-01,10,19
90,2024-03-01,14,30
90,2024-04-01,7,20
90,2024-05-01,9,24
90,2024-06-01,9,30
90,2024-07-01,14,31
90,2024-08-01,14,25
91,2024-01-01,3,15
91,2024-02-01,9,18
91,2024-03-01,6,10
91,2024-04-01,2,11
91,2024-05-01,8,17
91,2024-06-01,10,23
92,2024-05-01,3,13
92,2024-06-01,2,21
92,2024-07-01,6,16
92,2024-08-01,5,22
92,2024-09-01,5,15
93,2024-07-01,10,20
93,2024-08-01,9,25
93,2024-09-01,9,17
93,2024-10-01,8,17
93,2024-11-01,6,19
93,2024-12-01,10,17
93,2025-01-01,9,23
93,2025-02-01,3,13
93,2025-03-01,4,25
93,2025-04-01,3,13
93,2025-05-01,9,23
93,2025-06-01,2,13
93,2025-07-01,6,20
94,2024-02-01,13,43
94,2024-03-01,18,42
94,2024-04-01,12,42
94,2024-05-01,8,44
94,2024-06-01,17,40
95,2024-02-01,10,19
95,2024-03-01,4,12
95,2024-04-01,7,32
95,2024-05-01,3,16
95,2024-06-01,10,24
95,2024-07-01,4,16
96,2025-05-01,6,20
96,2025-06-01,6,23
96,2025-07-01,3,16
97,2025-02-01,10,20
97,2025-03-01,2,12
97,2025-04-01,10,19
97,2025-05-01,10,24
97,2025-06-01,6,18
97,2025-07-01,9,24
98,2024-04-01,17,36
98,2024-05-01,10,41
98,2024-06-01,12,40
99,2025-04-01,3,18
99,2025-05-01,5,18
100,2024-01-01,9,21
100,2024-02-01,8,21
100,2024-03-01,7,15
100,2024-04-01,9,24
100,2024-05-01,5,18
100,2024-06-01,5,19
100,2024-07-01,8,25
100,2024-08-01,7,26
101,2024-08-01,6,17
101,2024-09-01,4,16
102,2025-05-01,3,15
102,2025-06-01,10,16
102,2025-07-01,10,26
103,2025-02-01,13,38
104,2025-01-01,11,24
104,2025-02-01,10,29
104,2025-03-01,5,16
104,2025-04-01,8,36
104,2025-05-01,8,21
104,2025-06-01,12,35
104,2025-07-01,11,35
105,2024-07-01,9,22
105,2024-08-01,2,9
105,2024-09-01,8,17
106,2024-01-01,7,27
107,2025-04-01,8,19
107,2025-05-01,7,23
107,2025-06-01,8,22
107,2025-07-01,8,20
108,2024-08-01,3,14
108,2024-09-01,10,21
108,2024-10-01,9,16
109,2024-04-01,6,16
109,2024-05-01,4,18
109,2024-06-01,8,18
109,2024-07-01,2,18
109,2024-08-01,10,24
109,2024-09-01,10,20
109,2024-10-01,6,16
109,2024-11-01,9,18
110,2025-04-01,8,27
110,2025-05-01,9,35
110,2025-06-01,8,29
111,2025-02-01,7,36
111,2025-03-01,15,38
111,2025-04-01,18,47
111,2025-05-01,13,35
111,2025-06-01,14,45
111,2025-07-01,18,38
112,2024-08-01,10,28
112,2024-09-01,12,33
112,2024-10-01,16,44
112,2024-11-01,15,47
112,2024-12-01,12,38
112,2025-01-01,13,32
112,2025-02-01,7,33
112,2025-03-01,6,33
112,2025-04-01,17,40
112,2025-05-01,12,41
112,2025-06-01,17,39
112,2025-07-01,18,50
113,2024-06-01,9,46
113,2024-07-01,13,32
113,2024-08-01,13,36
113,2024-09-01,10,42
113,2024-10-01,11,39
113,2024-11-01,8,32
113,2024-12-01,18,45
113,2025-01-01,6,43
113,2025-02-01,16,44
113,2025-03-01,17,48
113,2025-04-01,13,41
113,2025-05-01,9,26
113,2025-06-01,15,50
113,2025-07-01,17,40
114,2024-02-01,12,34
114,2024-03-01,10,20
114,2024-04-01,14,28
114,2024-05-01,7,22
114,2024-06-01,12,30
114,2024-07-01,13,32
114,2024-08-01,8,20
114,2024-09-01,12,36
114,2024-10-01,9,25
114,2024-11-01,8,29
114,2024-12-01,5,25
114,2025-01-01,7,28
114,2025-02-01,11,32
114,2025-03-01,13,29
114,2025-04-01,14,41
114,2025-05-01,12,30
114,2025-06-01,7,22
114,2025-07-01,7,25
115,2024-06-01,12,27
115,2024-07-01,4,24
115,2024-08-01,4,20
115,2024-09-01,10,34
116,2024-08-01,3,13
116,2024-09-01,5,22
116,2024-10-01,9,25
116,2024-11-01,10,26
116,2024-12-01,9,19
116,2025-01-01,10,22
116,2025-02-01,10,21
116,2025-03-01,6,21
116,2025-04-01,7,17
116,2025-05-01,2,14
116,2025-06-01,8,22
116,2025-07-01,10,21
117,2024-03-01,9,28
117,2024-04-01,7,28
117,2024-05-01,4,25
117,2024-06-01,5,18
117,2024-07-01,8,18
117,2024-08-01,10,34
118,2024-01-01,10,28
119,2024-12-01,7,25
119,2025-01-01,4,25
119,2025-02-01,8,29
119,2025-03-01,4,31
119,2025-04-01,12,37
119,2025-05-01,10,31
119,2025-06-01,4,16
119,2025-07-01,4,22
120,2024-11-01,5,31
121,2025-05-01,6,17
121,2025-06-01,3,13
121,2025-07-01,6,14
122,2024-12-01,5,16
123,2025-04-01,9,36
123,2025-05-01,13,39
123,2025-06-01,7,31
123,2025-07-01,12,37
124,2024-08-01,2,13
124,2024-09-01,7,17
124,2024-10-01,8,21
124,2024-11-01,3,14
124,2024-12-01,10,19
124,2025-01-01,7,17
124,2025-02-01,5,19
124,2025-03-01,5,9
124,2025-04-01,5,22
124,2025-05-01,5,14
124,2025-06-01,6,20
124,2025-07-01,10,28
125,2024-07-01,8,20
125,2024-08-01,6,25
125,2024-09-01,9,32
125,2024-10-01,14,25
125,2024-11-01,4,25
125,2024-12-01,14,34
125,2025-01-01,11,28
125,2025-02-01,8,35
125,2025-03-01,10,29
125,2025-04-01,8,36
125,2025-05-01,12,30
125,2025-06-01,10,27
125,2025-07-01,11,27
126,2024-08-01,6,41
126,2024-09-01,18,43
126,2024-10-01,6,31
126,2024-11-01,6,38
126,2024-12-01,12,43
126,2025-01-01,12,42
127,2025-01-01,10,25
127,2025-02-01,6,31
128,2025-01-01,12,26
128,2025-02-01,8,20
128,2025-03-01,7,22
128,2025-04-01,7,18
128,2025-05-01,9,28
128,2025-06-01,11,20
128,2025-07-01,4,29
129,2024-10-01,3,16
129,2024-11-01,6,17
130,2024-09-01,8,21
130,2024-10-01,3,17
130,2024-11-01,8,15
130,2024-12-01,10,17
130,2025-01-01,8,20
130,2025-02-01,2,12
130,2025-03-01,2,14
131,2024-12-01,8,36
131,2025-01-01,12,36
131,2025-02-01,11,32
131,2025-03-01,10,41
131,2025-04-01,18,36
131,2025-05-01,16,44
131,2025-06-01,8,42
131,2025-07-01,12,38
132,2025-03-01,7,26
133,2025-02-01,10,25
133,2025-03-01,9,31
133,2025-04-01,12,31
133,2025-05-01,4,34
133,2025-06-01,13,36
133,2025-07-01,4,22
134,2024-11-01,3,26
134,2024-12-01,9,20
134,2025-01-01,2,8
134,2025-02-01,10,19
135,2024-08-01,7,16
135,2024-09-01,5,18
136,2024-08-01,17,41
136,2024-09-01,17,42
136,2024-10-01,9,44
136,2024-11-01,14,37
136,2024-12-01,7,30
136,2025-01-01,8,26
136,2025-02-01,18,46
136,2025-03-01,6,26
136,2025-04-01,12,48
136,2025-05-01,9,36
136,2025-06-01,18,50
136,2025-07-01,9,28
137,2025-01-01,10,23
138,2025-04-01,8,34
138,2025-05-01,5,23
138,2025-06-01,4,15
138,2025-07-01,7,24
139,2024-08-01,7,26
139,2024-09-01,7,17
139,2024-10-01,3,14
140,2024-04-01,6,27
141,2025-05-01,12,35
141,2025-06-01,7,32
142,2025-03-01,8,25
142,2025-04-01,11,28
142,2025-05-01,6,21
142,2025-06-01,10,27
142,2025-07-01,8,26
143,2024-09-01,6,24
143,2024-10-01,4,14
143,2024-11-01,2,10
143,2024-12-01,3,13
143,2025-01-01,2,12
143,2025-02-01,7,17
143,2025-03-01,6,23
143,2025-04-01,3,14
143,2025-05-01,9,18
143,2025-06-01,10,24
143,2025-07-01,2,13
144,2025-05-01,11,34
144,2025-06-01,6,24
144,2025-07-01,7,29
145,2025-01-01,7,34
145,2025-02-01,10,25
145,2025-03-01,12,28
145,2025-04-01,9,26
145,2025-05-01,11,27
145,2025-06-01,8,21
146,2025-01-01,2,17
146,2025-02-01,3,15
146,2025-03-01,10,25
146,2025-04-01,5,17
146,2025-05-01,2,21
146,2025-06-01,6,12
146,2025-07-01,3,14
147,2024-04-01,17,44
147,2024-05-01,16,43
147,2024-06-01,14,42
147,2024-07-01,9,37
147,2024-08-01,18,45
147,2024-09-01,18,42
147,2024-10-01,14,43
147,2024-11-01,14,39
147,2024-12-01,15,47
147,2025-01-01,9,38
147,2025-02-01,18,42
147,2025-03-01,8,34
147,2025-04-01,15,45
147,2025-05-01,8,37
147,2025-06-01,10,51
147,2025-07-01,11,37
148,2024-03-01,14,28
148,2024-04-01,4,21
148,2024-05-01,11,28
148,2024-06-01,10,24
148,2024-07-01,4,18
149,2024-04-01,11,30
149,2024-05-01,12,44
149,2024-06-01,18,52
149,2024-07-01,10,47
149,2024-08-01,6,35
149,2024-09-01,13,37
149,2024-10-01,11,38
149,2024-11-01,11,31
149,2024-12-01,10,40
149,2025-01-01,11,34
149,2025-02-01,7,46
149,2025-03-01,12,41
150,2024-01-01,10,28
150,2024-02-01,4,22
150,2024-03-01,14,36
150,2024-04-01,6,23
150,2024-05-01,12,37
150,2024-06-01,5,23
150,2024-07-01,6,24
150,2024-08-01,8,18
150,2024-09-01,9,23
151,2024-08-01,4,15
151,2024-09-01,6,20
151,2024-10-01,5,27
151,2024-11-01,2,15
151,2024-12-01,4,23
151,2025-01-01,6,19
151,2025-02-01,3,17
151,2025-03-01,10,20
151,2025-04-01,9,22
151,2025-05-01,3,13
151,2025-06-01,2,13
151,2025-07-01,2,17
152,2024-08-01,10,25
152,2024-09-01,8,18
152,2024-10-01,9,15
152,2024-11-01,9,22
152,2024-12-01,4,25
152,2025-01-01,6,19
153,2025-01-01,5,18
153,2025-02-01,8,21
153,2025-03-01,7,22
154,2025-02-01,17,42
154,2025-03-01,17,46
154,2025-04-01,15,45
154,2025-05-01,6,28
154,2025-06-01,10,38
155,2024-05-01,5,20
155,2024-06-01,13,29
155,2024-07-01,11,27
155,2024-08-01,13,35
155,2024-09-01,14,28
155,2024-10-01,5,20
155,2024-11-01,6,20
155,2024-12-01,9,30
155,2025-01-01,7,26
155,2025-02-01,14,33
155,2025-03-01,11,28
155,2025-04-01,10,27
155,2025-05-01,4,26
155,2025-06-01,7,24
155,2025-07-01,8,24
156,2024-02-01,9,33
156,2024-03-01,7,22
156,2024-04-01,9,30
156,2024-05-01,4,23
156,2024-06-01,9,26
156,2024-07-01,11,31
156,2024-08-01,8,23
156,2024-09-01,5,31
156,2024-10-01,5,24
156,2024-11-01,13,33
156,2024-12-01,7,21
156,2025-01-01,11,31
156,2025-02-01,5,26
157,2025-02-01,6,12
157,2025-03-01,2,14
157,2025-04-01,9,18
157,2025-05-01,4,19
157,2025-06-01,2,13
157,2025-07-01,9,23
158,2024-09-01,10,19
158,2024-10-01,4,17
158,2024-11-01,10,19
159,2025-03-01,11,27
159,2025-04-01,14,26
160,2024-07-01,4,24
160,2024-08-01,8,22
161,2024-07-01,2,14
161,2024-08-01,9,19
161,2024-09-01,4,13
161,2024-10-01,6,14
162,2024-05-01,6,27
162,2024-06-01,7,29
162,2024-07-01,5,29
163,2025-02-01,3,15
163,2025-03-01,9,21
163,2025-04-01,6,20
164,2024-10-01,10,18
164,2024-11-01,8,23
164,2024-12-01,3,14
164,2025-01-01,3,15
164,2025-02-01,2,17
164,2025-03-01,6,23
165,2024-10-01,12,25
165,2024-11-01,12,34
165,2024-12-01,5,21
165,2025-01-01,12,34
165,2025-02-01,14,23
165,2025-03-01,13,28
165,2025-04-01,7,22
165,2025-05-01,5,21
165,2025-06-01,10,22
165,2025-07-01,10,31
166,2024-07-01,9,17
167,2025-05-01,18,43
167,2025-06-01,11,36
167,2025-07-01,14,36
168,2024-05-01,8,22
168,2024-06-01,6,26
168,2024-07-01,8,19
168,2024-08-01,6,18
168,2024-09-01,3,19
168,2024-10-01,9,21
168,2024-11-01,5,23
168,2024-12-01,10,20
168,2025-01-01,7,18
168,2025-02-01,9,23
168,2025-03-01,7,22
168,2025-04-01,7,18
168,2025-05-01,5,20
168,2025-06-01,10,28
168,2025-07-01,9,17
169,2024-07-01,6,14
170,2024-05-01,6,18
170,2024-06-01,6,19
170,2024-07-01,4,17
170,2024-08-01,9,19
170,2024-09-01,2,21
170,2024-10-01,2,15
170,2024-11-01,10,25
170,2024-12-01,7,23
170,2025-01-01,10,18
170,2025-02-01,6,15
170,2025-03-01,2,15
170,2025-04-01,7,19
170,2025-05-01,7,15
170,2025-06-01,7,17
170,2025-07-01,7,17
171,2024-07-01,6,18
171,2024-08-01,10,23
171,2024-09-01,5,18
171,2024-10-01,12,28
171,2024-11-01,8,25
172,2024-11-01,3,17
