customer_id,signup_date,plan,region,acquisition_channel
70,2024-08-04,Premium,Central,Organic
71,2024-07-06,Basic,South,Organic
72,2025-01-14,Standard,East,Organic
73,2025-05-07,Standard,North,Partnership
74,2024-02-10,Standard,Central,Organic
75,2024-06-05,Basic,North,Social Ads
76,2024-01-15,Premium,South,Organic
77,2024-03-05,Standard,West,Social Ads
78,2024-12-09,Standard,Central,Organic
79,2024-05-08,Basic,South,Social Ads
80,2025-04-16,Standard,East,Social Ads
81,2024-03-03,Basic,Central,Social Ads
82,2024-05-18,Basic,Central,Organic
83,2025-05-13,Basic,West,Social Ads
84,2025-01-26,Premium,Central,Organic
85,2025-02-22,Basic,West,Organic
86,2024-10-15,Basic,South,Organic
87,2025-01-13,Standard,East,Organic
88,2025-05-04,Standard,East,Paid Search
89,2024-08-18,Basic,Central,Social Ads
90,2024-02-10,Standard,Central,Organic
91,2024-01-28,Basic,South,Organic
92,2024-05-14,Basic,West,Organic
93,2024-07-19,Basic,East,Social Ads
94,2024-02-02,Premium,West,Paid Search
95,2024-02-17,Basic,South,Organic
96,2025-05-17,Basic,East,Social Ads
97,2025-02-10,Basic,East,Paid Search
98,2024-04-08,Premium,North,Paid Search
99,2025-04-06,Basic,South,Paid Search
100,2024-01-05,Basic,South,Social Ads
101,2024-08-05,Basic,North,Social Ads
102,2025-05-17,Basic,West,Organic
103,2025-02-01,Standard,North,Organic
104,2025-01-27,Standard,South,Organic
105,2024-07-25,Basic,West,Social Ads
106,2024-01-15,Basic,East,Referral
107,2025-04-05,Basic,North,Organic
108,2024-08-28,Basic,West,Organic
109,2024-04-05,Basic,West,Social Ads
110,2025-04-29,Standard,West,Referral
111,2025-02-10,Premium,North,Referral
112,2024-08-18,Premium,East,Paid Search
113,2024-06-19,Premium,West,Referral
114,2024-02-05,Standard,North,Organic
115,2024-06-08,Standard,South,Organic
116,2024-08-30,Basic,North,Organic
117,2024-03-26,Standard,North,Social Ads
118,2024-01-28,Standard,North,Organic
119,2024-12-05,Standard,West,Paid Search
120,2024-11-26,Standard,North,Paid Search
121,2025-05-20,Basic,South,Organic
122,2024-12-13,Basic,West,Referral
123,2025-04-17,Premium,South,Organic
124,2024-08-18,Basic,Central,Organic
125,2024-07-08,Standard,North,Social Ads
126,2024-08-12,Premium,West,Organic
127,2025-01-19,Standard,West,Social Ads
128,2025-01-11,Standard,North,Social Ads
129,2024-10-09,Basic,East,Referral
130,2024-09-15,Basic,East,Referral
131,2024-12-24,Premium,South,Organic
132,2025-03-31,Standard,North,Paid Search
133,2025-02-14,Standard,North,Organic
134,2024-11-13,Basic,Central,Organic
135,2024-08-12,Basic,East,Organic
136,2024-08-21,Premium,East,Organic
137,2025-01-08,Basic,North,Referral
138,2025-04-16,Standard,South,Organic
139,2024-08-20,Basic,North,Paid Search
140,2024-04-22,Standard,South,Organic
141,2025-05-11,Premium,East,Paid Search
142,2025-03-17,Standard,Central,Partnership
143,2024-09-24,Basic,West,Organic
144,2025-05-24,Standard,East,Paid Search
145,2025-01-20,Standard,South,Organic
146,2025-01-21,Basic,North,Organic
147,2024-04-22,Premium,East,Paid Search
148,2024-03-21,Standard,Central,Social Ads
149,2024-04-22,Premium,South,Organic
150,2024-01-02,Standard,North,Organic
151,2024-08-07,Basic,West,Organic
152,2024-08-12,Basic,South,Social Ads
153,2025-01-19,Basic,North,Social Ads
154,2025-02-06,Premium,West,Paid Search
155,2024-05-09,Standard,North,Paid Search
156,2024-02-22,Standard,West,Referral
157,2025-02-19,Basic,West,Social Ads
158,2024-09-03,Basic,West,Social Ads
159,2025-03-14,Standard,North,Social Ads
160,2024-07-21,Standard,West,Social Ads
161,2024-07-02,Basic,South,Paid Search
162,2024-05-02,Standard,Central,Referral
163,2025-02-04,Basic,Central,Referral
164,2024-10-20,Basic,West,Organic
165,2024-10-06,Standard,Central,Organic
166,2024-07-16,Basic,Central,Partnership
167,2025-05-25,Premium,West,Organic
168,2024-05-23,Basic,West,Referral
169,2024-07-19,Basic,South,Organic
170,2024-05-03,Basic,East,Organic
171,2024-07-05,Standard,North,Organic
172,2024-11-21,Basic,West,Organic
173,2025-04-08,Standard,West,Organic
174,2024-12-14,Basic,Central,Paid Search
175,2025-02-06,Basic,South,Social Ads
176,2024-12-11,Basic,Central,Partnership
177,2025-05-25,Premium,West,Organic
178,2024-05-26,Premium,West,Paid Search
179,2024-05-27,Basic,Central,Paid Search
180,2025-05-03,Standard,West,Paid Search
181,2024-12-03,Premium,East,Paid Search
182,2025-04-17,Basic,North,Organic
183,2024-05-30,Premium,North,Organic
184,2025-02-18,Basic,North,Organic
185,2024-10-24,Premium,East,Organic
186,2024-09-19,Standard,West,Social Ads
187,2024-05-23,Premium,Central,Organic
188,2024-12-11,Standard,South,Referral
189,2024-01-02,Basic,West,Referral
190,2024-10-30,Premium,East,Partnership
191,2024-09-10,Basic,East,Referral
192,2025-03-28,Basic,North,Organic
193,2024-02-06,Standard,West,Paid Search
194,2024-06-08,Standard,North,Organic
195,2024-01-09,Premium,South,Social Ads
196,2024-08-20,Basic,North,Referral
197,2024-04-08,Standard,South,Referral
198,2024-07-26,Standard,East,Organic
199,2024-05-10,Basic,North,Social Ads
200,2025-02-07,Basic,North,Organic
201,2024-05-31,Basic,Central,Organic
202,2024-02-23,Basic,East,Social Ads
203,2024-04-29,Premium,Central,Organic
204,2025-02-23,Standard,South,Partnership
205,2025-02-25,Standard,South,Organic
206,2024-04-13,Premium,East,Referral
207,2024-09-10,Basic,South,Paid Search
208,2024-08-14,Premium,East,Social Ads
209,2024-04-21,Basic,South,Social Ads
210,2025-05-24,Premium,West,Referral
211,2025-04-17,Basic,North,Organic
212,2024-04-08,Premium,West,Referral
213,2024-06-01,Basic,East,Organic
214,2024-12-03,Basic,East,Organic
215,2024-06-11,Standard,West,Organic
216,2024-06-09,Basic,North,Social Ads
217,2025-02-01,Standard,North,Paid Search
218,2024-10-03,Basic,Central,Social Ads
219,2025-05-18,Standard,South,Social Ads
220,2025-01-26,Basic,Central,Organic
221,2024-05-14,Basic,North,Referral
222,2024-07-13,Basic,West,Organic
223,2025-02-04,Standard,South,Referral
224,2024-02-02,Basic,West,Organic
225,2025-04-04,Basic,Central,Paid Search
226,2025-04-14,Basic,East,Organic
227,2025-01-09,Basic,West,Organic
228,2024-01-22,Standard,Central,Organic
229,2024-02-07,Premium,Central,Organic
230,2024-08-17,Basic,Central,Organic
231,2024-12-30,Standard,East,Organic
232,2025-03-13,Standard,East,Paid Search
233,2024-10-09,Basic,East,Social Ads
234,2024-01-27,Standard,South,Paid Search
235,2024-08-13,Basic,East,Referral
236,2024-10-03,Standard,East,Social Ads
237,2024-10-10,Basic,East,Social Ads
238,2025-04-25,Standard,West,Social Ads
239,2025-03-28,Standard,East,Organic
240,2025-05-30,Basic,South,Social Ads
241,2024-07-10,Basic,Central,Organic
242,2024-02-18,Premium,West,Referral
243,2025-05-26,Basic,North,Social Ads
244,2024-01-17,Standard,East,Organic
245,2024-06-20,Premium,Central,Social Ads
246,2024-08-07,Standard,Central,Organic
247,2024-06-06,Standard,West,Organic
248,2025-04-21,Standard,North,Organic
249,2024-02-15,Premium,South,Social Ads
250,2025-01-07,Standard,Central,Social Ads
251,2025-06-01,Standard,Central,Social Ads
252,2024-04-08,Basic,Central,Organic
253,2024-02-06,Premium,Central,Paid Search
254,2024-10-06,Standard,West,Social Ads
255,2024-12-14,Basic,North,Organic
256,2025-05-11,Premium,Central,Social Ads
257,2024-10-28,Standard,South,Organic
258,2024-06-29,Basic,South,Organic
259,2024-04-08,Standard,East,Paid Search
260,2024-04-25,Basic,Central,Social Ads
261,2024-07-09,Premium,Central,Organic
262,2024-09-09,Basic,Central,Organic
263,2024-06-09,Premium,Central,Organic
264,2024-09-12,Standard,Central,Organic
265,2024-11-18,Basic,South,Organic
266,2024-05-07,Premium,North,Organic
267,2024-01-18,Standard,North,Social Ads
268,2024-11-18,Basic,East,Organic
269,2024-10-14,Standard,South,Social Ads
270,2024-06-03,Premium,Central,Social Ads
271,2025-05-04,Basic,North,Organic
272,2025-01-20,Basic,West,Organic
273,2024-04-13,Basic,West,Referral
274,2025-01-27,Basic,West,Organic
275,2024-09-02,Standard,Central,Organic
276,2024-06-24,Standard,Central,Organic
277,2024-02-08,Basic,East,Paid Search
278,2025-04-21,Basic,East,Paid Search
279,2025-02-11,Basic,East,Partnership
280,2025-05-20,Premium,West,Referral
281,2024-02-05,Basic,Central,Organic
282,2024-01-20,Premium,West,Organic
283,2024-11-16,Standard,East,Organic
284,2025-05-26,Basic,Central,Organic
285,2025-02-03,Premium,South,Organic
286,2025-04-15,Standard,North,Organic
287,2024-05-22,Standard,North,Organic
288,2024-04-01,Premium,East,Organic
289,2024-12-19,Basic,West,Organic
290,2024-02-20,Basic,South,Partnership
291,2024-07-08,Standard,Central,Paid Search
292,2024-05-04,Basic,West,Partnership
293,2024-05-29,Basic,East,Organic
294,2024-11-09,Basic,West,Paid Search
295,2024-12-07,Basic,East,Organic
296,2024-10-31,Standard,North,Organic
297,2024-02-23,Basic,North,Organic
298,2025-03-19,Standard,West,Referral
299,2024-09-20,Standard,South,Partnership
300,2024-02-22,Basic,Central,Organic
301,2024-01-05,Basic,East,Organic
302,2024-04-12,Standard,Central,Organic
303,2024-07-14,Basic,North,Organic
304,2024-12-15,Standard,South,Organic
305,2024-02-16,Premium,South,Organic
306,2024-09-25,Basic,Central,Paid Search
307,2025-01-04,Standard,North,Organic
308,2024-04-15,Standard,Central,Organic
309,2024-04-29,Basic,West,Organic
310,2024-02-27,Premium,South,Organic
311,2024-12-11,Premium,South,Partnership
312,2025-04-18,Basic,West,Organic
313,2024-04-26,Standard,North,Referral
314,2024-05-06,Premium,South,Referral
315,2025-01-27,Premium,East,Partnership
316,2024-02-27,Standard,East,Social Ads
317,2025-05-27,Standard,North,Social Ads
318,2024-04-05,Basic,West,Referral
319,2024-04-27,Premium,Central,Organic
320,2025-05-02,Basic,North,Paid Search
321,2024-08-24,Standard,Central,Partnership
322,2024-09-28,Basic,North,Social Ads
323,2024-07-07,Basic,East,Partnership
324,2025-03-22,Basic,West,Social Ads
325,2024-09-03,Premium,East,Referral
326,2024-03-16,Basic,West,Social Ads
327,2024-06-02,Standard,Central,Social Ads
328,2025-03-10,Basic,North,Paid Search
329,2024-03-26,Basic,South,Referral
330,2024-10-11,Basic,South,Social Ads
331,2024-08-07,Standard,West,Referral
332,2024-03-09,Basic,West,Social Ads
333,2024-02-16,Basic,East,Organic
334,2024-04-03,Basic,South,Organic
335,2025-03-28,Basic,East,Referral
336,2024-07-22,Premium,Central,Paid Search
337,2024-08-05,Premium,South,Organic
338,2025-04-18,Basic,Central,Organic
339,2025-03-07,Standard,North,Social Ads
340,2024-12-06,Premium,East,Referral
341,2024-10-15,Basic,West,Social Ads
342,2024-09-10,Premium,South,Social Ads
343,2024-12-22,Premium,East,Organic
344,2024-01-23,Basic,West,Organic
345,2024-04-09,Basic,North,Organic
346,2024-06-28,Premium,South,Referral
347,2024-08-10,Standard,Central,Organic
348,2025-03-17,Basic,North,Social Ads
349,2024-11-20,Basic,West,Paid Search
350,2025-05-30,Basic,South,Paid Search
351,2024-01-16,Standard,South,Referral
352,2024-12-01,Standard,North,Organic
353,2024-09-14,Premium,South,Social Ads
354,2025-05-11,Basic,West,Organic
355,2024-06-08,Standard,North,Organic
356,2025-04-19,Standard,Central,Organic
357,2025-01-14,Basic,North,Organic
358,2025-03-02,Basic,North,Social Ads
359,2024-09-24,Premium,Central,Paid Search
360,2025-02-20,Premium,West,Organic
361,2024-06-16,Standard,East,Organic
362,2024-02-12,Standard,East,Paid Search
363,2024-10-11,Basic,Central,Social Ads
364,2025-01-31,Standard,West,Organic
365,2024-01-12,Standard,South,Paid Search
366,2024-10-28,Standard,Central,Social Ads
367,2024-09-09,Premium,East,Paid Search
368,2025-05-13,Standard,West,Organic
369,2024-02-04,Basic,North,Paid Search
370,2024-03-30,Standard,West,Paid Search
371,2025-02-21,Basic,West,Social Ads
372,2024-04-24,Basic,East,Paid Search
373,2024-07-14,Basic,East,Partnership
374,2025-05-15,Basic,South,Organic
375,2025-05-07,Standard,South,Partnership
376,2024-03-15,Standard,Central,Paid Search
377,2025-02-16,Standard,North,Social Ads
378,2025-01-10,Standard,South,Organic
379,2025-02-23,Basic,East,Organic
380,2024-10-03,Premium,West,Social Ads
381,2025-01-28,Basic,Central,Social Ads
382,2025-04-01,Basic,South,Organic
383,2024-07-10,Standard,West,Paid Search
384,2024-04-08,Basic,West,Organic
385,2024-04-05,Basic,South,Partnership
386,2024-07-08,Standard,North,Referral
387,2024-02-06,Standard,North,Organic
388,2025-01-03,Basic,Central,Referral
389,2024-10-05,Premium,North,Referral
390,2024-08-04,Standard,Central,Organic
391,2024-09-29,Premium,East,Social Ads
392,2024-03-02,Basic,South,Organic
393,2024-12-07,Standard,West,Social Ads
394,2025-01-31,Premium,Central,Organic
395,2024-01-19,Standard,North,Organic
396,2024-06-25,Standard,Central,Organic
397,2025-01-30,Basic,Central,Organic
398,2025-03-20,Basic,North,Referral
399,2024-08-20,Standard,North,Organic
400,2024-03-16,Basic,South,Organic
401,2024-09-21,Premium,West,Referral
402,2025-03-30,Basic,South,Paid Search
403,2025-01-18,Premium,South,Paid Search
404,2025-05-20,Premium,North,Partnership
405,2025-01-01,Basic,North,Referral
406,2024-05-23,Basic,West,Organic
407,2024-03-09,Premium,Central,Paid Search
408,2024-04-08,Premium,South,Partnership
409,2025-01-30,Basic,West,Organic
410,2024-01-25,Basic,South,Organic
411,2025-04-13,Standard,Central,Organic
412,2025-04-28,Standard,South,Organic
413,2024-05-30,Basic,East,Social Ads
414,2024-05-23,Standard,West,Social Ads
415,2024-02-08,Basic,North,Partnership
416,2024-04-18,Basic,South,Social Ads
417,2024-02-11,Basic,West,Organic
418,2024-07-04,Basic,West,Organic
419,2025-02-01,Basic,South,Partnership
420,2024-08-10,Standard,North,Organic
421,2024-05-12,Basic,North,Organic
422,2024-06-11,Basic,South,Referral
423,2024-08-02,Basic,West,Paid Search
424,2024-08-22,Premium,North,Organic
425,2024-01-09,Basic,South,Referral
426,2024-03-14,Basic,South,Partnership
427,2025-05-06,Standard,South,Organic
428,2024-09-09,Premium,West,Referral
429,2024-08-17,Basic,North,Organic
430,2024-06-22,Standard,West,Paid Search
431,2024-06-16,Standard,East,Referral
432,2024-06-18,Standard,North,Partnership
433,2025-01-27,Basic,West,Organic
434,2024-07-12,Standard,North,Organic
435,2025-05-31,Basic,East,Organic
436,2024-01-29,Standard,Central,Paid Search
437,2024-06-13,Standard,South,Organic
438,2025-02-25,Basic,West,Organic
439,2024-12-04,Premium,East,Organic
440,2025-05-10,Basic,East,Organic
441,2024-12-30,Premium,North,Organic
442,2024-12-07,Standard,North,Referral
443,2025-05-14,Basic,South,Organic
444,2025-05-25,Basic,North,Organic
445,2024-11-22,Premium,West,Referral
446,2024-08-04,Basic,West,Social Ads
447,2024-10-27,Basic,West,Organic
448,2024-05-11,Basic,Central,Organic
449,2024-03-10,Standard,West,Social Ads
450,2024-09-08,Standard,North,Organic
451,2025-02-18,Basic,North,Social Ads
452,2025-03-20,Basic,West,Organic
453,2024-06-30,Basic,East,Organic
454,2024-06-15,Basic,East,Paid Search
455,2024-03-31,Basic,East,Social Ads
456,2024-02-08,Standard,South,Referral
457,2024-05-05,Basic,Central,Organic
458,2025-03-26,Basic,West,Paid Search
459,2024-06-21,Basic,South,Organic
460,2024-08-07,Premium,East,Paid Search
461,2024-02-27,Premium,West,Referral
462,2025-04-20,Premium,South,Organic
463,2025-03-31,Basic,North,Referral
464,2024-12-26,Basic,East,Social Ads
465,2024-01-01,Basic,South,Referral
466,2025-01-21,Basic,North,Social Ads
467,2024-12-13,Standard,East,Organic
468,2024-07-08,Standard,Central,Organic
469,2025-05-19,Premium,East,Organic
470,2024-07-09,Premium,Central,Organic
471,2025-05-22,Basic,Central,Paid Search
472,2025-01-03,Standard,Central,Paid Search
473,2025-02-12,Basic,West,Partnership
474,2024-04-26,Basic,West,Organic
475,2024-05-13,Standard,Central,Social Ads
476,2024-02-27,Basic,North,Referral
477,2024-06-21,Basic,Central,Referral
478,2024-05-28,Basic,South,Organic
479,2024-03-20,Standard,Central,Paid Search
480,2024-07-31,Standard,West,Organic
481,2024-07-21,Basic,West,Organic
482,2024-08-16,Premium,South,Organic
483,2024-08-14,Basic,South,Social Ads
484,2025-03-16,Basic,East,Paid Search
485,2025-02-05,Standard,North,Paid Search
486,2024-02-16,Standard,North,Partnership
487,2024-08-20,Premium,North,Organic
488,2024-10-31,Basic,West,Paid Search
489,2024-05-22,Standard,North,Social Ads
490,2025-02-18,Standard,East,Organic
491,2025-05-27,Premium,East,Paid Search
492,2025-01-07,Basic,North,Organic
493,2024-09-15,Standard,South,Referral
494,2025-04-15,Standard,East,Organic
495,2024-01-12,Basic,South,Organic
496,2024-11-25,Standard,West,Paid Search
497,2024-12-23,Basic,East,Organic
498,2025-02-11,Standard,South,Organic
499,2025-01-07,Premium,North,Organic
500,2024-01-08,Standard,West,Organic
501,2024-05-01,Standard,Central,Paid Search
502,2024-12-13,Standard,Central,Paid Search
503,2024-03-30,Basic,North,Paid Search
504,2024-11-11,Basic,West,Social Ads
505,2024-06-26,Standard,West,Organic
506,2024-02-10,Basic,West,Organic
507,2025-05-16,Basic,West,Social Ads
508,2024-05-24,Standard,Central,Referral
509,2024-07-19,Basic,South,Organic
510,2025-04-05,Basic,West,Organic
511,2024-09-09,Standard,South,Paid Search
512,2025-01-24,Basic,West,Paid Search
513,2024-09-12,Premium,East,Social Ads
514,2025-03-25,Premium,East,Organic
515,2024-01-10,Standard,East,Social Ads
516,2024-08-29,Basic,West,Organic
517,2024-09-07,Standard,South,Paid Search
518,2024-01-05,Premium,Central,Social Ads
519,2024-04-28,Standard,North,Paid Search
520,2025-01-08,Basic,Central,Organic
521,2024-03-05,Standard,West,Partnership
522,2024-05-25,Premium,East,Referral
523,2024-08-11,Standard,East,Social Ads
524,2024-08-26,Standard,South,Organic
525,2024-06-25,Standard,West,Organic
526,2024-10-08,Standard,Central,Referral
527,2024-03-03,Basic,West,Paid Search
528,2024-08-04,Standard,West,Referral
529,2025-04-05,Basic,East,Organic
530,2024-04-14,Basic,Central,Organic
531,2024-04-08,Basic,North,Partnership
532,2025-05-25,Standard,East,Paid Search
533,2025-01-19,Basic,Central,Organic
534,2025-02-08,Standard,South,Organic
535,2025-06-01,Standard,East,Paid Search
536,2025-04-20,Basic,South,Organic
537,2025-03-12,Basic,East,Paid Search
538,2024-01-23,Basic,West,Organic
539,2025-04-02,Premium,Central,Social Ads
540,2024-03-23,Standard,South,Organic
541,2024-05-24,Standard,East,Partnership
542,2024-03-25,Basic,South,Organic
543,2024-03-18,Standard,East,Paid Search
544,2025-04-01,Premium,East,Organic
545,2024-01-01,Premium,North,Social Ads
546,2024-02-20,Standard,North,Partnership
547,2025-03-21,Basic,North,Social Ads
548,2025-03-24,Basic,South,Paid Search
549,2025-05-02,Basic,West,Paid Search
550,2024-02-03,Basic,East,Referral
551,2024-12-13,Basic,Central,Referral
552,2024-04-04,Basic,North,Partnership
553,2024-03-12,Basic,South,Organic
554,2024-06-02,Premium,South,Partnership
555,2024-09-06,Standard,South,Organic
556,2025-03-13,Premium,Central,Organic
557,2024-04-27,Standard,Central,Organic
558,2024-11-01,Basic,North,Organic
559,2024-09-24,Standard,Central,Social Ads
560,2024-02-23,Basic,North,Referral
561,2024-08-23,Standard,Central,Social Ads
562,2025-01-23,Basic,Central,Social Ads
563,2025-02-04,Premium,Central,Paid Search
564,2024-10-29,Basic,North,Social Ads
565,2024-07-25,Basic,East,Organic
566,2024-08-16,Premium,North,Referral
567,2024-03-15,Basic,East,Social Ads
568,2025-03-10,Standard,South,Social Ads
569,2024-04-12,Standard,South,Paid Search
570,2025-02-25,Premium,North,Referral
571,2024-11-01,Premium,East,Organic
572,2024-04-07,Premium,East,Organic
573,2024-11-30,Basic,East,Social Ads
574,2025-03-10,Premium,South,Paid Search
575,2025-03-22,Standard,North,Referral
576,2024-11-03,Standard,West,Organic
577,2024-09-05,Basic,East,Organic
578,2024-06-14,Standard,East,Referral
579,2025-04-25,Premium,West,Paid Search
580,2024-11-30,Premium,North,Paid Search
581,2024-04-15,Basic,East,Organic
582,2024-03-21,Basic,North,Organic
583,2024-05-12,Basic,East,Social Ads
584,2024-05-17,Premium,Central,Organic
585,2024-07-02,Standard,East,Referral
586,2025-02-04,Standard,Central,Social Ads
587,2024-11-25,Basic,North,Organic
588,2025-05-22,Basic,East,Social Ads
589,2024-03-09,Standard,South,Paid Search
590,2024-02-22,Premium,South,Organic
591,2025-03-25,Standard,West,Organic
592,2024-07-23,Basic,South,Organic
593,2024-05-05,Standard,Central,Social Ads
594,2024-02-12,Basic,South,Social Ads
595,2024-04-20,Premium,South,Paid Search
596,2024-07-01,Basic,South,Social Ads
597,2024-04-04,Standard,East,Social Ads
598,2025-01-08,Basic,West,Paid Search
599,2024-12-25,Standard,North,Social Ads
600,2024-10-07,Standard,West,Organic
601,2024-07-13,Standard,Central,Referral
602,2024-07-13,Basic,East,Paid Search
603,2024-04-02,Basic,East,Social Ads
604,2024-03-01,Basic,South,Paid Search
605,2024-02-20,Standard,South,Organic
606,2025-02-06,Basic,Central,Paid Search
607,2024-01-05,Standard,East,Organic
608,2025-04-10,Premium,North,Social Ads
609,2025-02-08,Premium,West,Paid Search
610,2025-05-27,Basic,East,Referral
611,2024-08-20,Standard,North,Social Ads
612,2024-12-11,Basic,North,Social Ads
613,2024-02-15,Standard,West,Organic
614,2024-03-18,Premium,North,Partnership
615,2024-03-13,Basic,Central,Referral
616,2024-09-05,Basic,North,Social Ads
617,2024-02-16,Premium,Central,Organic
618,2024-04-30,Premium,North,Paid Search
619,2024-08-01,Basic,South,Organic
620,2024-08-26,Standard,North,Paid Search
621,2024-02-25,Basic,Central,Organic
622,2024-12-15,Basic,North,Paid Search
623,2024-04-16,Premium,North,Social Ads
624,2024-02-17,Premium,North,Organic
625,2024-12-02,Standard,Central,Paid Search
626,2024-01-26,Basic,North,Referral
627,2024-09-13,Premium,West,Organic
628,2024-01-08,Basic,West,Social Ads
629,2024-09-09,Basic,Central,Organic
630,2024-10-29,Standard,South,Organic
631,2024-02-25,Basic,West,Organic
632,2025-04-18,Standard,East,Social Ads
633,2024-01-28,Standard,West,Organic
634,2024-03-18,Basic,East,Referral
635,2024-08-03,Basic,Central,Paid Search
636,2025-01-20,Basic,South,Organic
637,2024-12-30,Basic,East,Social Ads
638,2024-11-07,Standard,East,Organic
639,2024-01-07,Premium,West,Social Ads
640,2024-01-03,Basic,East,Organic
641,2024-12-28,Basic,Central,Organic
642,2025-05-22,Standard,Central,Social Ads
643,2024-09-30,Premium,Central,Partnership
644,2025-05-20,Basic,West,Organic
645,2024-01-15,Basic,South,Social Ads
646,2024-07-10,Standard,West,Organic
647,2025-04-29,Basic,Central,Social Ads
648,2024-01-28,Basic,West,Social Ads
649,2024-02-08,Standard,Central,Organic
650,2024-09-29,Standard,North,Organic
651,2024-08-18,Standard,North,Organic
652,2024-03-26,Standard,East,Organic
653,2025-04-18,Standard,South,Organic
654,2024-05-05,Basic,North,Social Ads
655,2024-05-24,Basic,Central,Partnership
656,2024-07-30,Basic,West,Organic
657,2024-01-25,Basic,West,Paid Search
658,2025-01-28,Standard,East,Paid Search
659,2024-03-07,Premium,West,Referral
660,2024-08-20,Premium,North,Paid Search
661,2024-04-18,Standard,West,Paid Search
662,2024-05-25,Basic,North,Paid Search
663,2024-04-20,Basic,North,Organic
664,2024-08-15,Premium,South,Organic
665,2024-04-20,Standard,East,Organic
666,2025-04-14,Standard,Central,Organic
667,2024-02-03,Standard,North,Paid Search
668,2025-01-03,Standard,East,Organic
669,2025-02-28,Premium,Central,Paid Search
670,2025-06-01,Basic,West,Organic
671,2024-10-08,Standard,East,Referral
672,2024-11-15,Premium,East,Referral
673,2025-03-18,Basic,East,Organic
674,2024-11-10,Standard,West,Organic
675,2025-01-11,Basic,West,Paid Search
676,2024-10-15,Premium,East,Organic
677,2025-03-12,Basic,South,Organic
678,2024-10-03,Standard,North,Organic
679,2025-05-17,Basic,West,Referral
680,2025-05-30,Standard,South,Referral
681,2024-12-15,Basic,West,Paid Search
682,2025-03-21,Basic,East,Paid Search
683,2024-12-15,Standard,South,Referral
684,2024-05-16,Premium,Central,Referral
685,2024-08-30,Basic,North,Partnership
686,2024-02-09,Basic,North,Organic
687,2024-08-16,Standard,West,Organic
688,2024-08-10,Standard,North,Social Ads
689,2024-01-06,Premium,Central,Paid Search
690,2024-11-17,Basic,South,Organic
691,2025-04-12,Standard,South,Organic
692,2024-03-15,Basic,East,Referral
693,2024-01-04,Basic,South,Referral
694,2024-04-27,Standard,West,Organic
695,2025-05-18,Standard,Central,Referral
696,2025-03-16,Standard,East,Paid Search
697,2024-07-12,Basic,West,Social Ads
