transaction_id,customer_id,amount,date
T00050,CUST0446,155.63,2021-01-03 01:00:00
T00051,CUST0051,55.1,2021-01-03 02:00:00
T00052,CUST0364,3.06,2021-01-03 03:00:00
T00053,CUST0055,53.58,2021-01-03 04:00:00
T00054,CUST0244,107.33,2021-01-03 05:00:00
T00055,CUST0320,43.02,2021-01-03 06:00:00
T00056,CUST0131,21.85,2021-01-03 07:00:00
T00057,CUST0485,85.99,2021-01-03 08:00:00
T00058,CUST0307,76.28,2021-01-03 09:00:00
T00059,CUST0135,39.28,2021-01-03 10:00:00
T00060,CUST0021,8.38,2021-01-03 11:00:00
T00061,CUST0329,14.45,2021-01-03 12:00:00
T00062,CUST0167,67.06,2021-01-03 13:00:00
T00063,CUST0274,82.02,2021-01-03 14:00:00
T00064,CUST0388,16.37,2021-01-03 15:00:00
T00065,CUST0089,22.94,2021-01-03 16:00:00
T00066,CUST0316,4.04,2021-01-03 17:00:00
T00067,CUST0014,62.49,2021-01-03 18:00:00
T00068,CUST0242,0.18,2021-01-03 19:00:00
T00069,CUST0265,2.38,2021-01-03 20:00:00
T00070,CUST0346,0.22,2021-01-03 21:00:00
T00071,CUST0053,51.83,2021-01-03 22:00:00
T00072,CUST0386,27.01,2021-01-03 23:00:00
T00073,CUST0340,17.66,2021-01-04 00:00:00
T00074,CUST0092,121.92,2021-01-04 01:00:00
T00075,CUST0367,10.71,2021-01-04 02:00:00
T00076,CUST0444,24.66,2021-01-04 03:00:00
T00077,CUST0455,140.93,2021-01-04 04:00:00
T00078,CUST0428,27.85,2021-01-04 05:00:00
T00079,CUST0264,40.45,2021-01-04 06:00:00
T00080,CUST0431,4.19,2021-01-04 07:00:00
T00081,CUST0035,78.07,2021-01-04 08:00:00
T00082,CUST0206,27.47,2021-01-04 09:00:00
T00083,CUST0081,80.6,2021-01-04 10:00:00
T00084,CUST0420,14.64,2021-01-04 11:00:00
T00085,CUST0050,27.45,2021-01-04 12:00:00
T00086,CUST0360,77.22,2021-01-04 13:00:00
T00087,CUST0388,182.25,2021-01-04 14:00:00
T00088,CUST0002,3.07,2021-01-04 15:00:00
T00089,CUST0390,83.69,2021-01-04 16:00:00
T00090,CUST0054,17.88,2021-01-04 17:00:00
T00091,CUST0106,40.01,2021-01-04 18:00:00
T00092,CUST0260,17.13,2021-01-04 19:00:00
T00093,CUST0310,47.52,2021-01-04 20:00:00
T00094,CUST0477,21.83,2021-01-04 21:00:00
T00095,CUST0191,20.29,2021-01-04 22:00:00
T00096,CUST0402,1.93,2021-01-04 23:00:00
T00097,CUST0218,7.95,2021-01-05 00:00:00
T00098,CUST0044,124.49,2021-01-05 01:00:00
T00099,CUST0162,318.2,2021-01-05 02:00:00
T00100,CUST0202,75.82,2021-01-05 03:00:00
T00101,CUST0446,16.9,2021-01-05 04:00:00
T00102,CUST0484,25.75,2021-01-05 05:00:00
T00103,CUST0270,67.26,2021-01-05 06:00:00
T00104,CUST0351,172.91,2021-01-05 07:00:00
T00105,CUST0304,30.39,2021-01-05 08:00:00
T00106,CUST0271,88.46,2021-01-05 09:00:00
T00107,CUST0456,184.58,2021-01-05 10:00:00
T00108,CUST0462,103.37,2021-01-05 11:00:00
T00109,CUST0215,12.88,2021-01-05 12:00:00
T00110,CUST0252,0.4,2021-01-05 13:00:00
T00111,CUST0190,33.87,2021-01-05 14:00:00
T00112,CUST0296,37.9,2021-01-05 15:00:00
T00113,CUST0213,11.24,2021-01-05 16:00:00
T00114,CUST0208,16.75,2021-01-05 17:00:00
T00115,CUST0237,72.44,2021-01-05 18:00:00
T00116,CUST0338,31.78,2021-01-05 19:00:00
T00117,CUST0367,19.09,2021-01-05 20:00:00
T00118,CUST0053,48.73,2021-01-05 21:00:00
T00119,CUST0280,52.89,2021-01-05 22:00:00
T00120,CUST0410,73.35,2021-01-05 23:00:00
T00121,CUST0217,8.52,2021-01-06 00:00:00
T00122,CUST0252,67.65,2021-01-06 01:00:00
T00123,CUST0188,45.74,2021-01-06 02:00:00
T00124,CUST0380,2.96,2021-01-06 03:00:00
T00125,CUST0493,75.13,2021-01-06 04:00:00
T00126,CUST0041,24.15,2021-01-06 05:00:00
T00127,CUST0157,20.05,2021-01-06 06:00:00
T00128,CUST0015,29.72,2021-01-06 07:00:00
T00129,CUST0301,21.25,2021-01-06 08:00:00
T00130,CUST0065,20.65,2021-01-06 09:00:00
T00131,CUST0345,82.53,2021-01-06 10:00:00
T00132,CUST0327,6.65,2021-01-06 11:00:00
T00133,CUST0009,176.34,2021-01-06 12:00:00
T00134,CUST0344,40.48,2021-01-06 13:00:00
T00135,CUST0129,10.1,2021-01-06 14:00:00
T00136,CUST0492,7.03,2021-01-06 15:00:00
T00137,CUST0136,44.76,2021-01-06 16:00:00
T00138,CUST0472,50.12,2021-01-06 17:00:00
T00139,CUST0063,2.72,2021-01-06 18:00:00
T00140,CUST0139,13.92,2021-01-06 19:00:00
T00141,CUST0499,79.35,2021-01-06 20:00:00
T00142,CUST0081,2.54,2021-01-06 21:00:00
T00143,CUST0392,96.58,2021-01-06 22:00:00
T00144,CUST0163,53.67,2021-01-06 23:00:00
T00145,CUST0419,28.5,2021-01-07 00:00:00
T00146,CUST0289,21.27,2021-01-07 01:00:00
T00147,CUST0379,0.97,2021-01-07 02:00:00
T00148,CUST0261,87.21,2021-01-07 03:00:00
T00149,CUST0490,7.7,2021-01-07 04:00:00
T00150,CUST0231,18.52,2021-01-07 05:00:00
T00151,CUST0041,42.09,2021-01-07 06:00:00
T00152,CUST0028,14.12,2021-01-07 07:00:00
T00153,CUST0135,34.37,2021-01-07 08:00:00
T00154,CUST0201,82.86,2021-01-07 09:00:00
T00155,CUST0328,31.79,2021-01-07 10:00:00
T00156,CUST0268,148.77,2021-01-07 11:00:00
T00157,CUST0418,94.03,2021-01-07 12:00:00
T00158,CUST0033,20.25,2021-01-07 13:00:00
T00159,CUST0048,25.54,2021-01-07 14:00:00
T00160,CUST0407,27.52,2021-01-07 15:00:00
T00161,CUST0062,49.2,2021-01-07 16:00:00
T00162,CUST0216,16.9,2021-01-07 17:00:00
T00163,CUST0293,174.09,2021-01-07 18:00:00
T00164,CUST0099,46.91,2021-01-07 19:00:00
T00165,CUST0172,25.49,2021-01-07 20:00:00
T00166,CUST0360,51.78,2021-01-07 21:00:00
T00167,CUST0214,25.16,2021-01-07 22:00:00
T00168,CUST0475,85.13,2021-01-07 23:00:00
T00169,CUST0035,41.95,2021-01-08 00:00:00
T00170,CUST0449,2.14,2021-01-08 01:00:00
T00171,CUST0227,9.73,2021-01-08 02:00:00
T00172,CUST0101,100.12,2021-01-08 03:00:00
T00173,CUST0431,41.38,2021-01-08 04:00:00
T00174,CUST0462,150.13,2021-01-08 05:00:00
T00175,CUST0131,3.76,2021-01-08 06:00:00
T00176,CUST0257,17.5,2021-01-08 07:00:00
T00177,CUST0005,10.76,2021-01-08 08:00:00
T00178,CUST0218,40.35,2021-01-08 09:00:00
T00179,CUST0255,24.13,2021-01-08 10:00:00
T00180,CUST0398,8.56,2021-01-08 11:00:00
T00181,CUST0359,51.47,2021-01-08 12:00:00
T00182,CUST0283,38.43,2021-01-08 13:00:00
T00183,CUST0393,16.06,2021-01-08 14:00:00
T00184,CUST0207,32.67,2021-01-08 15:00:00
T00185,CUST0015,68.47,2021-01-08 16:00:00
T00186,CUST0346,11.49,2021-01-08 17:00:00
T00187,CUST0042,17.33,2021-01-08 18:00:00
T00188,CUST0380,21.24,2021-01-08 19:00:00
T00189,CUST0461,68.66,2021-01-08 20:00:00
T00190,CUST0179,93.84,2021-01-08 21:00:00
T00191,CUST0063,23.61,2021-01-08 22:00:00
T00192,CUST0352,17.59,2021-01-08 23:00:00
T00193,CUST0231,110.11,2021-01-09 00:00:00
T00194,CUST0241,368.09,2021-01-09 01:00:00
T00195,CUST0052,55.49,2021-01-09 02:00:00
T00196,CUST0096,230.16,2021-01-09 03:00:00
T00197,CUST0388,53.94,2021-01-09 04:00:00
T00198,CUST0222,66.11,2021-01-09 05:00:00
T00199,CUST0485,24.6,2021-01-09 06:00:00
T00200,CUST0407,28.37,2021-01-09 07:00:00
T00201,CUST0231,7.78,2021-01-09 08:00:00
T00202,CUST0237,86.51,2021-01-09 09:00:00
T00203,CUST0143,133.73,2021-01-09 10:00:00
T00204,CUST0171,48.83,2021-01-09 11:00:00
T00205,CUST0029,21.05,2021-01-09 12:00:00
T00206,CUST0036,8.36,2021-01-09 13:00:00
T00207,CUST0013,15.4,2021-01-09 14:00:00
T00208,CUST0160,14.75,2021-01-09 15:00:00
T00209,CUST0327,47.53,2021-01-09 16:00:00
T00210,CUST0187,145.06,2021-01-09 17:00:00
T00211,CUST0243,2.47,2021-01-09 18:00:00
T00212,CUST0086,0.05,2021-01-09 19:00:00
T00213,CUST0284,45.84,2021-01-09 20:00:00
T00214,CUST0066,16.71,2021-01-09 21:00:00
T00215,CUST0170,106.24,2021-01-09 22:00:00
T00216,CUST0045,19.82,2021-01-09 23:00:00
T00217,CUST0062,17.11,2021-01-10 00:00:00
T00218,CUST0441,15.7,2021-01-10 01:00:00
T00219,CUST0134,7.82,2021-01-10 02:00:00
T00220,CUST0284,43.56,2021-01-10 03:00:00
T00221,CUST0028,9.21,2021-01-10 04:00:00
T00222,CUST0108,27.64,2021-01-10 05:00:00
T00223,CUST0044,30.9,2021-01-10 06:00:00
T00224,CUST0340,1.04,2021-01-10 07:00:00
T00225,CUST0286,0.85,2021-01-10 08:00:00
T00226,CUST0446,36.72,2021-01-10 09:00:00
T00227,CUST0331,59.54,2021-01-10 10:00:00
T00228,CUST0128,142.49,2021-01-10 11:00:00
T00229,CUST0348,9.87,2021-01-10 12:00:00
T00230,CUST0473,5.45,2021-01-10 13:00:00
T00231,CUST0231,2.67,2021-01-10 14:00:00
T00232,CUST0190,28.64,2021-01-10 15:00:00
T00233,CUST0225,48.8,2021-01-10 16:00:00
T00234,CUST0385,91.8,2021-01-10 17:00:00
T00235,CUST0377,57.39,2021-01-10 18:00:00
T00236,CUST0283,11.68,2021-01-10 19:00:00
T00237,CUST0446,30.97,2021-01-10 20:00:00
T00238,CUST0121,120.59,2021-01-10 21:00:00
T00239,CUST0116,19.78,2021-01-10 22:00:00
T00240,CUST0461,34.53,2021-01-10 23:00:00
T00241,CUST0233,159.18,2021-01-11 00:00:00
T00242,CUST0259,66.35,2021-01-11 01:00:00
T00243,CUST0359,68.86,2021-01-11 02:00:00
T00244,CUST0198,14.54,2021-01-11 03:00:00
T00245,CUST0456,26.78,2021-01-11 04:00:00
T00246,CUST0411,4.3,2021-01-11 05:00:00
T00247,CUST0137,46.64,2021-01-11 06:00:00
T00248,CUST0318,5.48,2021-01-11 07:00:00
T00249,CUST0165,90.37,2021-01-11 08:00:00
T00250,CUST0225,84.25,2021-01-11 09:00:00
T00251,CUST0307,38.14,2021-01-11 10:00:00
T00252,CUST0234,7.61,2021-01-11 11:00:00
T00253,CUST0172,1.3,2021-01-11 12:00:00
T00254,CUST0152,79.66,2021-01-11 13:00:00
T00255,CUST0463,45.83,2021-01-11 14:00:00
T00256,CUST0315,62.05,2021-01-11 15:00:00
T00257,CUST0374,18.11,2021-01-11 16:00:00
T00258,CUST0160,35.61,2021-01-11 17:00:00
T00259,CUST0096,68.75,2021-01-11 18:00:00
T00260,CUST0472,31.05,2021-01-11 19:00:00
T00261,CUST0233,45.99,2021-01-11 20:00:00
T00262,CUST0180,77.97,2021-01-11 21:00:00
T00263,CUST0113,12.12,2021-01-11 22:00:00
T00264,CUST0318,3.41,2021-01-11 23:00:00
T00265,CUST0497,37.95,2021-01-12 00:00:00
T00266,CUST0442,3.21,2021-01-12 01:00:00
T00267,CUST0052,72.74,2021-01-12 02:00:00
T00268,CUST0268,63.51,2021-01-12 03:00:00
T00269,CUST0295,106.73,2021-01-12 04:00:00
T00270,CUST0386,51.02,2021-01-12 05:00:00
T00271,CUST0387,3.48,2021-01-12 06:00:00
T00272,CUST0113,14.59,2021-01-12 07:00:00
T00273,CUST0101,82.5,2021-01-12 08:00:00
T00274,CUST0113,9.14,2021-01-12 09:00:00
T00275,CUST0440,59.95,2021-01-12 10:00:00
T00276,CUST0081,75.77,2021-01-12 11:00:00
T00277,CUST0187,20.03,2021-01-12 12:00:00
T00278,CUST0113,19.45,2021-01-12 13:00:00
T00279,CUST0002,40.8,2021-01-12 14:00:00
T00280,CUST0130,98.77,2021-01-12 15:00:00
T00281,CUST0220,12.67,2021-01-12 16:00:00
T00282,CUST0054,141.73,2021-01-12 17:00:00
T00283,CUST0343,45.7,2021-01-12 18:00:00
T00284,CUST0485,242.21,2021-01-12 19:00:00
T00285,CUST0224,4.69,2021-01-12 20:00:00
T00286,CUST0225,6.77,2021-01-12 21:00:00
T00287,CUST0385,87.62,2021-01-12 22:00:00
T00288,CUST0403,100.03,2021-01-12 23:00:00
T00289,CUST0126,29.48,2021-01-13 00:00:00
T00290,CUST0130,62.6,2021-01-13 01:00:00
T00291,CUST0053,101.08,2021-01-13 02:00:00
T00292,CUST0172,2.2,2021-01-13 03:00:00
T00293,CUST0218,42.66,2021-01-13 04:00:00
T00294,CUST0160,96.03,2021-01-13 05:00:00
T00295,CUST0198,25.39,2021-01-13 06:00:00
T00296,CUST0416,18.0,2021-01-13 07:00:00
T00297,CUST0247,79.41,2021-01-13 08:00:00
T00298,CUST0324,20.46,2021-01-13 09:00:00
T00299,CUST0439,0.16,2021-01-13 10:00:00
T00300,CUST0203,160.41,2021-01-13 11:00:00
T00301,CUST0184,44.84,2021-01-13 12:00:00
T00302,CUST0123,85.61,2021-01-13 13:00:00
T00303,CUST0401,87.23,2021-01-13 14:00:00
T00304,CUST0255,3.44,2021-01-13 15:00:00
T00305,CUST0294,9.37,2021-01-13 16:00:00
T00306,CUST0280,18.63,2021-01-13 17:00:00
T00307,CUST0325,19.33,2021-01-13 18:00:00
T00308,CUST0372,53.76,2021-01-13 19:00:00
T00309,CUST0098,48.79,2021-01-13 20:00:00
T00310,CUST0198,34.12,2021-01-13 21:00:00
T00311,CUST0470,11.87,2021-01-13 22:00:00
T00312,CUST0395,24.06,2021-01-13 23:00:00
T00313,CUST0240,39.22,2021-01-14 00:00:00
T00314,CUST0144,31.55,2021-01-14 01:00:00
T00315,CUST0097,6.81,2021-01-14 02:00:00
T00316,CUST0201,52.42,2021-01-14 03:00:00
T00317,CUST0124,3.79,2021-01-14 04:00:00
T00318,CUST0187,23.76,2021-01-14 05:00:00
T00319,CUST0326,61.9,2021-01-14 06:00:00
T00320,CUST0464,1.01,2021-01-14 07:00:00
T00321,CUST0349,42.2,2021-01-14 08:00:00
T00322,CUST0259,20.36,2021-01-14 09:00:00
T00323,CUST0148,0.44,2021-01-14 10:00:00
T00324,CUST0252,10.56,2021-01-14 11:00:00
T00325,CUST0443,141.47,2021-01-14 12:00:00
T00326,CUST0420,36.82,2021-01-14 13:00:00
T00327,CUST0403,294.39,2021-01-14 14:00:00
T00328,CUST0346,37.2,2021-01-14 15:00:00
T00329,CUST0451,39.26,2021-01-14 16:00:00
T00330,CUST0147,24.87,2021-01-14 17:00:00
T00331,CUST0148,18.56,2021-01-14 18:00:00
T00332,CUST0352,14.49,2021-01-14 19:00:00
T00333,CUST0199,21.04,2021-01-14 20:00:00
T00334,CUST0308,30.8,2021-01-14 21:00:00
T00335,CUST0489,10.66,2021-01-14 22:00:00
T00336,CUST0417,12.74,2021-01-14 23:00:00
T00337,CUST0424,15.84,2021-01-15 00:00:00
T00338,CUST0128,29.82,2021-01-15 01:00:00
T00339,CUST0039,52.89,2021-01-15 02:00:00
T00340,CUST0338,96.95,2021-01-15 03:00:00
T00341,CUST0360,16.92,2021-01-15 04:00:00
T00342,CUST0129,10.15,2021-01-15 05:00:00
T00343,CUST0267,23.81,2021-01-15 06:00:00
T00344,CUST0476,112.4,2021-01-15 07:00:00
T00345,CUST0441,0.5,2021-01-15 08:00:00
T00346,CUST0473,56.64,2021-01-15 09:00:00
T00347,CUST0434,32.42,2021-01-15 10:00:00
T00348,CUST0151,8.78,2021-01-15 11:00:00
T00349,CUST0415,19.36,2021-01-15 12:00:00
T00350,CUST0478,12.74,2021-01-15 13:00:00
T00351,CUST0298,105.12,2021-01-15 14:00:00
T00352,CUST0099,32.88,2021-01-15 15:00:00
T00353,CUST0263,41.4,2021-01-15 16:00:00
T00354,CUST0252,45.03,2021-01-15 17:00:00
T00355,CUST0144,51.03,2021-01-15 18:00:00
T00356,CUST0346,34.21,2021-01-15 19:00:00
T00357,CUST0112,0.9,2021-01-15 20:00:00
T00358,CUST0500,20.38,2021-01-15 21:00:00
T00359,CUST0060,10.16,2021-01-15 22:00:00
T00360,CUST0369,56.99,2021-01-15 23:00:00
T00361,CUST0002,2.92,2021-01-16 00:00:00
T00362,CUST0385,41.48,2021-01-16 01:00:00
T00363,CUST0304,11.83,2021-01-16 02:00:00
T00364,CUST0254,148.65,2021-01-16 03:00:00
T00365,CUST0140,20.44,2021-01-16 04:00:00
T00366,CUST0453,19.67,2021-01-16 05:00:00
T00367,CUST0037,128.45,2021-01-16 06:00:00
T00368,CUST0160,27.01,2021-01-16 07:00:00
T00369,CUST0009,164.66,2021-01-16 08:00:00
T00370,CUST0233,1.22,2021-01-16 09:00:00
T00371,CUST0099,18.29,2021-01-16 10:00:00
T00372,CUST0147,54.86,2021-01-16 11:00:00
T00373,CUST0304,110.75,2021-01-16 12:00:00
T00374,CUST0208,14.81,2021-01-16 13:00:00
T00375,CUST0131,133.31,2021-01-16 14:00:00
T00376,CUST0404,45.09,2021-01-16 15:00:00
T00377,CUST0152,80.72,2021-01-16 16:00:00
T00378,CUST0054,25.31,2021-01-16 17:00:00
T00379,CUST0120,11.92,2021-01-16 18:00:00
T00380,CUST0161,121.09,2021-01-16 19:00:00
T00381,CUST0408,135.25,2021-01-16 20:00:00
T00382,CUST0116,34.42,2021-01-16 21:00:00
T00383,CUST0075,0.33,2021-01-16 22:00:00
T00384,CUST0113,5.81,2021-01-16 23:00:00
T00385,CUST0456,42.55,2021-01-17 00:00:00
T00386,CUST0420,1.2,2021-01-17 01:00:00
T00387,CUST0422,25.28,2021-01-17 02:00:00
T00388,CUST0104,18.08,2021-01-17 03:00:00
T00389,CUST0340,62.65,2021-01-17 04:00:00
T00390,CUST0254,2.86,2021-01-17 05:00:00
T00391,CUST0227,33.54,2021-01-17 06:00:00
T00392,CUST0112,43.27,2021-01-17 07:00:00
T00393,CUST0473,48.02,2021-01-17 08:00:00
T00394,CUST0099,25.97,2021-01-17 09:00:00
T00395,CUST0153,18.15,2021-01-17 10:00:00
T00396,CUST0349,57.36,2021-01-17 11:00:00
T00397,CUST0402,94.05,2021-01-17 12:00:00
T00398,CUST0384,59.15,2021-01-17 13:00:00
T00399,CUST0366,134.49,2021-01-17 14:00:00
T00400,CUST0338,63.16,2021-01-17 15:00:00
T00401,CUST0194,72.33,2021-01-17 16:00:00
T00402,CUST0310,9.19,2021-01-17 17:00:00
T00403,CUST0163,27.2,2021-01-17 18:00:00
T00404,CUST0208,33.18,2021-01-17 19:00:00
T00405,CUST0445,14.81,2021-01-17 20:00:00
T00406,CUST0169,37.6,2021-01-17 21:00:00
T00407,CUST0484,17.18,2021-01-17 22:00:00
T00408,CUST0161,58.16,2021-01-17 23:00:00
T00409,CUST0068,31.77,2021-01-18 00:00:00
T00410,CUST0289,30.7,2021-01-18 01:00:00
T00411,CUST0398,205.65,2021-01-18 02:00:00
T00412,CUST0277,24.92,2021-01-18 03:00:00
T00413,CUST0304,22.49,2021-01-18 04:00:00
T00414,CUST0404,19.18,2021-01-18 05:00:00
T00415,CUST0384,112.57,2021-01-18 06:00:00
T00416,CUST0392,34.33,2021-01-18 07:00:00
T00417,CUST0135,45.82,2021-01-18 08:00:00
T00418,CUST0195,9.97,2021-01-18 09:00:00
T00419,CUST0401,38.93,2021-01-18 10:00:00
T00420,CUST0128,16.05,2021-01-18 11:00:00
T00421,CUST0033,65.58,2021-01-18 12:00:00
T00422,CUST0176,89.35,2021-01-18 13:00:00
T00423,CUST0460,62.73,2021-01-18 14:00:00
T00424,CUST0443,65.51,2021-01-18 15:00:00
T00425,CUST0371,35.92,2021-01-18 16:00:00
T00426,CUST0470,62.26,2021-01-18 17:00:00
T00427,CUST0375,27.47,2021-01-18 18:00:00
T00428,CUST0022,52.7,2021-01-18 19:00:00
T00429,CUST0238,14.99,2021-01-18 20:00:00
T00430,CUST0158,3.62,2021-01-18 21:00:00
T00431,CUST0038,26.68,2021-01-18 22:00:00
T00432,CUST0230,30.97,2021-01-18 23:00:00
T00433,CUST0365,14.81,2021-01-19 00:00:00
T00434,CUST0051,65.04,2021-01-19 01:00:00
T00435,CUST0438,3.82,2021-01-19 02:00:00
T00436,CUST0264,12.6,2021-01-19 03:00:00
T00437,CUST0283,69.03,2021-01-19 04:00:00
T00438,CUST0027,28.73,2021-01-19 05:00:00
T00439,CUST0226,61.09,2021-01-19 06:00:00
T00440,CUST0277,41.91,2021-01-19 07:00:00
T00441,CUST0286,150.5,2021-01-19 08:00:00
T00442,CUST0097,45.54,2021-01-19 09:00:00
T00443,CUST0284,0.75,2021-01-19 10:00:00
T00444,CUST0367,21.76,2021-01-19 11:00:00
T00445,CUST0448,7.72,2021-01-19 12:00:00
T00446,CUST0481,129.27,2021-01-19 13:00:00
T00447,CUST0453,5.49,2021-01-19 14:00:00
T00448,CUST0317,24.53,2021-01-19 15:00:00
T00449,CUST0304,12.82,2021-01-19 16:00:00
T00450,CUST0147,93.78,2021-01-19 17:00:00
T00451,CUST0004,18.45,2021-01-19 18:00:00
T00452,CUST0035,240.75,2021-01-19 19:00:00
T00453,CUST0192,1.97,2021-01-19 20:00:00
T00454,CUST0049,6.86,2021-01-19 21:00:00
T00455,CUST0017,12.72,2021-01-19 22:00:00
T00456,CUST0172,83.33,2021-01-19 23:00:00
T00457,CUST0220,105.4,2021-01-20 00:00:00
T00458,CUST0158,3.71,2021-01-20 01:00:00
T00459,CUST0477,1.65,2021-01-20 02:00:00
T00460,CUST0046,68.24,2021-01-20 03:00:00
T00461,CUST0373,7.16,2021-01-20 04:00:00
T00462,CUST0006,7.14,2021-01-20 05:00:00
T00463,CUST0099,1.13,2021-01-20 06:00:00
T00464,CUST0380,2.55,2021-01-20 07:00:00
T00465,CUST0233,15.3,2021-01-20 08:00:00
T00466,CUST0037,3.36,2021-01-20 09:00:00
T00467,CUST0280,23.01,2021-01-20 10:00:00
T00468,CUST0349,89.42,2021-01-20 11:00:00
T00469,CUST0497,19.75,2021-01-20 12:00:00
T00470,CUST0302,65.07,2021-01-20 13:00:00
T00471,CUST0181,4.93,2021-01-20 14:00:00
T00472,CUST0095,53.85,2021-01-20 15:00:00
T00473,CUST0099,19.04,2021-01-20 16:00:00
T00474,CUST0188,69.27,2021-01-20 17:00:00
T00475,CUST0481,7.32,2021-01-20 18:00:00
T00476,CUST0116,114.08,2021-01-20 19:00:00
T00477,CUST0191,13.89,2021-01-20 20:00:00
T00478,CUST0253,21.78,2021-01-20 21:00:00
T00479,CUST0469,149.97,2021-01-20 22:00:00
T00480,CUST0416,43.19,2021-01-20 23:00:00
T00481,CUST0471,22.77,2021-01-21 00:00:00
T00482,CUST0161,149.39,2021-01-21 01:00:00
T00483,CUST0256,19.96,2021-01-21 02:00:00
T00484,CUST0323,4.98,2021-01-21 03:00:00
T00485,CUST0128,288.0,2021-01-21 04:00:00
T00486,CUST0018,15.59,2021-01-21 05:00:00
T00487,CUST0281,95.28,2021-01-21 06:00:00
T00488,CUST0490,9.05,2021-01-21 07:00:00
T00489,CUST0223,65.72,2021-01-21 08:00:00
T00490,CUST0054,37.16,2021-01-21 09:00:00
T00491,CUST0058,197.92,2021-01-21 10:00:00
T00492,CUST0323,40.24,2021-01-21 11:00:00
T00493,CUST0360,1.27,2021-01-21 12:00:00
T00494,CUST0174,46.3,2021-01-21 13:00:00
T00495,CUST0280,7.85,2021-01-21 14:00:00
T00496,CUST0114,80.11,2021-01-21 15:00:00
T00497,CUST0288,97.09,2021-01-21 16:00:00
T00498,CUST0431,32.9,2021-01-21 17:00:00
T00499,CUST0342,76.44,2021-01-21 18:00:00
T00500,CUST0151,7.84,2021-01-21 19:00:00
T00501,CUST0450,33.87,2021-01-21 20:00:00
T00502,CUST0127,25.04,2021-01-21 21:00:00
T00503,CUST0155,47.25,2021-01-21 22:00:00
T00504,CUST0490,2.27,2021-01-21 23:00:00
T00505,CUST0386,69.74,2021-01-22 00:00:00
T00506,CUST0474,4.12,2021-01-22 01:00:00
T00507,CUST0273,53.42,2021-01-22 02:00:00
T00508,CUST0104,0.93,2021-01-22 03:00:00
T00509,CUST0417,89.16,2021-01-22 04:00:00
T00510,CUST0393,9.6,2021-01-22 05:00:00
T00511,CUST0299,36.23,2021-01-22 06:00:00
T00512,CUST0246,15.16,2021-01-22 07:00:00
T00513,CUST0176,64.12,2021-01-22 08:00:00
T00514,CUST0039,19.38,2021-01-22 09:00:00
T00515,CUST0477,64.48,2021-01-22 10:00:00
T00516,CUST0170,16.76,2021-01-22 11:00:00
T00517,CUST0247,69.81,2021-01-22 12:00:00
